Id,ActivityHour,Time,Intensity,Steps,Calories,,,,Available features,
1503960366,3/21/2016,19:00:00,18,396,79,,,,,
1503960366,3/21/2016,20:00:00,11,99,67,,,,,
1503960366,3/21/2016,21:00:00,14,172,70,,,,,
1503960366,3/21/2016,22:00:00,20,371,81,,,,,
1503960366,3/21/2016,23:00:00,16,447,79,,,,,
1503960366,3/22/2016,12:00:00,0,0,47,,,,,
1503960366,3/22/2016,01:00:00,0,0,47,,,,,
1503960366,3/22/2016,02:00:00,0,0,47,,,,,
1503960366,3/22/2016,03:00:00,0,0,47,,,,,
1503960366,3/22/2016,04:00:00,0,0,47,,,,,
1503960366,3/22/2016,05:00:00,0,0,47,,,,,
1503960366,3/22/2016,06:00:00,0,0,47,,,,,
1503960366,3/22/2016,07:00:00,0,0,47,,,,,
1503960366,3/22/2016,08:00:00,2,34,50,,,,,
1503960366,3/22/2016,09:00:00,26,1732,135,,,,,
1503960366,3/22/2016,10:00:00,24,497,90,,,,,
1503960366,3/22/2016,11:00:00,14,296,76,,,,,
1503960366,3/22/2016,00:00:00,15,322,78,,,,,
1503960366,3/22/2016,13:00:00,24,657,95,,,,,
1503960366,3/22/2016,14:00:00,44,1657,134,,,,,
1503960366,3/22/2016,15:00:00,13,455,80,,,,,
1503960366,3/22/2016,16:00:00,9,278,71,,,,,
1503960366,3/22/2016,17:00:00,15,953,107,,,,,
1503960366,3/22/2016,18:00:00,23,1123,109,,,,,
1503960366,3/22/2016,19:00:00,22,1479,120,,,,,
1503960366,3/22/2016,20:00:00,22,366,83,,,,,
1503960366,3/22/2016,21:00:00,14,349,74,,,,,
1503960366,3/22/2016,22:00:00,117,4587,265,,,,,
1503960366,3/22/2016,23:00:00,10,351,71,,,,,
1503960366,3/23/2016,12:00:00,2,14,53,,,,,
1503960366,3/23/2016,01:00:00,3,50,53,,,,,
1503960366,3/23/2016,02:00:00,4,29,54,,,,,
1503960366,3/23/2016,03:00:00,0,0,47,,,,,
1503960366,3/23/2016,04:00:00,0,0,47,,,,,
1503960366,3/23/2016,05:00:00,0,0,48,,,,,
1503960366,3/23/2016,06:00:00,0,0,48,,,,,
1503960366,3/23/2016,07:00:00,6,82,56,,,,,
1503960366,3/23/2016,08:00:00,25,534,89,,,,,
1503960366,3/23/2016,09:00:00,24,1623,133,,,,,
1503960366,3/23/2016,10:00:00,17,504,85,,,,,
1503960366,3/23/2016,11:00:00,19,414,83,,,,,
1503960366,3/23/2016,00:00:00,17,411,81,,,,,
1503960366,3/23/2016,13:00:00,37,1226,114,,,,,
1503960366,3/23/2016,14:00:00,76,2674,176,,,,,
1503960366,3/23/2016,15:00:00,11,236,71,,,,,
1503960366,3/23/2016,16:00:00,16,383,81,,,,,
1503960366,3/23/2016,17:00:00,14,411,78,,,,,
1503960366,3/23/2016,18:00:00,8,325,70,,,,,
1503960366,3/23/2016,19:00:00,80,2937,183,,,,,
1503960366,3/23/2016,20:00:00,30,1086,113,,,,,
1503960366,3/23/2016,21:00:00,5,61,57,,,,,
1503960366,3/23/2016,22:00:00,10,119,65,,,,,
1503960366,3/23/2016,23:00:00,19,413,81,,,,,
1503960366,3/24/2016,12:00:00,23,311,82,,,,,
1503960366,3/24/2016,01:00:00,0,0,48,,,,,
1503960366,3/24/2016,02:00:00,1,7,50,,,,,
1503960366,3/24/2016,03:00:00,1,8,49,,,,,
1503960366,3/24/2016,04:00:00,0,0,47,,,,,
1503960366,3/24/2016,05:00:00,1,8,49,,,,,
1503960366,3/24/2016,06:00:00,0,0,48,,,,,
1503960366,3/24/2016,07:00:00,3,29,52,,,,,
1503960366,3/24/2016,08:00:00,36,553,100,,,,,
1503960366,3/24/2016,09:00:00,43,2041,149,,,,,
1503960366,3/24/2016,10:00:00,8,90,66,,,,,
1503960366,3/24/2016,11:00:00,7,63,63,,,,,
1503960366,3/24/2016,00:00:00,39,1180,115,,,,,
1503960366,3/24/2016,13:00:00,36,770,104,,,,,
1503960366,3/24/2016,14:00:00,41,1320,123,,,,,
1503960366,3/24/2016,15:00:00,17,504,84,,,,,
1503960366,3/24/2016,16:00:00,26,210,84,,,,,
1503960366,3/24/2016,17:00:00,14,526,84,,,,,
1503960366,3/24/2016,18:00:00,5,66,61,,,,,
1503960366,3/24/2016,19:00:00,3,75,59,,,,,
1503960366,3/24/2016,20:00:00,107,3858,225,,,,,
1503960366,3/24/2016,21:00:00,29,1090,114,,,,,
1503960366,3/24/2016,22:00:00,9,185,64,,,,,
1503960366,3/24/2016,23:00:00,12,294,71,,,,,
1503960366,3/25/2016,12:00:00,1,42,53,,,,,
1503960366,3/25/2016,01:00:00,6,126,58,,,,,
1503960366,3/25/2016,02:00:00,1,5,49,,,,,
1503960366,3/25/2016,03:00:00,1,7,49,,,,,
1503960366,3/25/2016,04:00:00,0,0,48,,,,,
1503960366,3/25/2016,05:00:00,0,0,48,,,,,
1503960366,3/25/2016,06:00:00,0,0,48,,,,,
1503960366,3/25/2016,07:00:00,3,40,52,,,,,
1503960366,3/25/2016,08:00:00,25,565,90,,,,,
1503960366,3/25/2016,09:00:00,28,1545,125,,,,,
1503960366,3/25/2016,10:00:00,14,309,76,,,,,
1503960366,3/25/2016,11:00:00,34,1226,111,,,,,
1503960366,3/25/2016,00:00:00,4,78,61,,,,,
1503960366,3/25/2016,13:00:00,7,187,63,,,,,
1503960366,3/25/2016,14:00:00,13,419,77,,,,,
1503960366,3/25/2016,15:00:00,0,0,54,,,,,
1503960366,3/25/2016,16:00:00,17,427,82,,,,,
1503960366,3/25/2016,17:00:00,14,435,77,,,,,
